mpirun -np 2 -env --map-by node ./IMB-MPI1 PingPong -msglog 4,,,,,,
tnode008 tnode009,,,,,,
2.11 0.99,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,0.43,0,0.43,0,0.43
1,1000,0.43,2.32,0.431981651,2.3165,0.457144408
2,1000,0.43,4.64,0.431981651,4.6247,0.484288817
4,1000,0.44,9.14,0.431981651,9.2328,0.538577633
8,1000,0.43,18.51,0.431981651,18.4328,0.647155266
16,1000,0.43,36.84,0.431981651,36.7998,0.864310532
