mpirun -np 2  --map-by node ./IMB-MPI1 PingPong -msglog 4 NOTE: on dssc_gpu,,,,,,
gnode001 gnode002,,,,,,
3.2 1,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,0.47,0,0.47,0,0.47
1,1000,0.47,2.13,0.47,2.1324,0.499265438
2,1000,0.47,4.26,0.47,4.2685,0.528530875
4,1000,0.47,8.59,0.47,8.5445,0.58706175
8,1000,0.47,17.1,0.47,17.1039,0.7041235
16,1000,0.47,34.17,0.47,34.238,0.938247
